ATP,CO2,H2,NH3,O2,PHB,ac,bm,glyc,hv
0.0,0.827672553877301,0.0,-1.0,-0.4048855856575827,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,-9.872026425850448
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,-1.640267455179946,-8.470934228402461,-1.0,-2.172412690801566,0.0,0.0,0.0799168864381043,-1.0177948267135513,0.0
0.0,0.0,-3.996664801939316,-1.0,-1.57554543274994,0.0,-0.820133727589973,0.0799168864381043,-1.0177948267135513,0.0
0.0,0.827672553877301,0.8097711713151655,-1.0,0.0,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,-14.32576786808386
0.0,0.0,-1.6657076640294095,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.8379285543035244,-13.522789632115932
0.0,-0.5923972402035217,-2.03036841684648,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.0177948267135513,-17.532646048109967
0.0,0.179226937318522,-0.872932150563414,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.4036069154745732,-13.674525160499748
0.0,-3.675857108607049,-8.197288153653533,-1.0,-0.5088974133567756,0.0,0.0,0.0799168864381043,0.0,-31.3931777617944
0.0,-1.640267455179946,-4.126108846799329,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.0177948267135513,-21.724126908015663
0.0,-0.5923972402035217,-5.842236074482538,-1.0,-2.414831242174805,0.0,-1.5417299342017634,0.0799168864381043,0.0,0.0
0.0,2.143942743990694,0.0,-1.0,-1.3920882282426277,0.0,-1.2339700045286237,0.0799168864381043,-1.675929921770248,0.0
0.0,1.8755427688537252,-0.6493939636111777,-1.0,-0.8985002264311782,0.0,0.0,0.0799168864381043,-2.775699938730387,0.0
0.0,1.8755427688537252,0.0,-1.0,-0.5738032446255894,0.0,0.0,0.0799168864381043,-2.775699938730387,-3.2469698180558884
0.0,0.179226937318522,-3.922198247156291,-1.0,-1.2626654945523323,0.0,0.0,0.0799168864381043,-1.927542022962785,0.0
0.0,1.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0
0.0,0.0,-4.370265590452596,-1.0,-1.3522789632115932,0.0,0.0,0.0799168864381043,-1.8379285543035244,0.0
0.0,0.0,-0.8455739364394363,-1.0,0.0,0.0,-0.820133727589973,0.0799168864381043,-1.0177948267135513,-15.7554543274994
0.0,0.4227869682197182,0.0,-1.0,0.0,0.0,-1.0315272116998322,0.0799168864381043,-1.0177948267135513,-14.730653453741445
0.0,0.4227869682197182,0.0,-1.0,-0.5088974133567756,0.0,-2.0493220384133832,0.0799168864381043,0.0,-16.257345693811768
0.0,14.666666666666666,20.0,0.0,-1.0,0.0,0.0,0.0,-7.333333333333333,0.0
0.0,0.0,-1.1417725565411971,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.313993446815312,-14.570659847092358
0.0,0.827672553877301,-2.279743733184155,-1.0,-2.053654865606436,0.0,-2.2517648312421747,0.0799168864381043,0.0,0.0
3.875,1.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0
0.0,0.827672553877301,-1.9744052851700895,-1.0,-1.3920882282426277,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,0.0
0.0,0.827672553877301,0.0,-1.0,-0.0498681371373771,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,-10.58206132289086
0.0,0.827672553877301,0.8097711713151655,-1.0,-0.5088974133567756,0.0,-2.2517648312421747,0.0799168864381043,0.0,-15.852460108154188
0.0,0.827672553877301,0.0,-1.0,-0.5088974133567756,0.8097711713151655,-3.871307173872506,0.0799168864381043,0.0,-21.925743893017927
0.0,0.0,-0.8455739364394363,-1.0,-0.5088974133567756,0.0,-1.8379285543035244,0.0799168864381043,0.0,-17.28214656756973
0.0,1.8755427688537252,1.1476064892511788,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.775699938730387,-9.558805508937372
0.0,0.179226937318522,-1.3968672580516264,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.927542022962785,-12.626654945523322
3.75,1.0,0.0,0.0,-0.75,0.0,0.0,0.0,-0.5,0.0
0.0,-0.5923972402035217,-5.536897626468472,-1.0,-1.7532646048109966,0.0,-0.5239351074882123,0.0799168864381043,-1.0177948267135513,0.0
0.0,2.101482415277359,0.0,-1.0,-1.6786954470576407,0.0,-1.8708749352286524,0.0799168864381043,-1.0177948267135513,0.0
