ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen
0.0,0.0,0.0,0.0,0.0,0.0,-2880002.0,-750780.0,-1538291.0,0.0,0.0,-1447160.0,60000.0,67280.0,0.0,-1379240.0,0.0
0.0,9.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,-12.0,-16.0,0.0,0.0,8.0,-130.0,0.0
0.0,0.0,0.0,0.0,4934353665144360.0,0.0,-2.3875956842737924e+16,-2031001207394511.2,0.0,251829301783488.0,-4934353665144360.0,0.0,162311292847000.0,-4236493716462281.5,0.0,-9157392951483672.0,0.0
0.0,0.0,0.0,0.0,926465.0,0.0,0.0,-750780.0,2170350.0,0.0,-926465.0,-2223491.0,60000.0,-764140.0,0.0,-26259933.0,535917.0
0.0,0.0,0.0,3662372.0,964008.0,0.0,1449939.0,-112617.0,0.0,0.0,-964008.0,0.0,9000.0,-2038168.0,0.0,-2223456.0,0.0
20.0,0.0,0.0,-8.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-57.0,0.0
0.0,0.0,0.0,0.0,15761020.0,0.0,0.0,-1201248.0,15709300.0,0.0,-15761020.0,-17917108.0,96000.0,0.0,15709300.0,-223857525.0,0.0
0.0,9.0,0.0,32.0,12.0,0.0,0.0,0.0,-8.0,0.0,-12.0,-16.0,0.0,0.0,0.0,-16.0,0.0
30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,-16.0,0.0,-48.0,0.0
710783.0,0.0,0.0,0.0,0.0,0.0,0.0,-50052.0,0.0,0.0,0.0,-83372.0,4000.0,-8620.0,0.0,-1574054.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,-6.0,0.0,-107.0,2.0
0.0,0.0,0.0,0.0,27313560.0,0.0,-113692555.0,-3190815.0,0.0,997568.0,-27313560.0,-3937370.0,255000.0,-3990272.0,0.0,-1110928.0,22672.0
15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,-41.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3491127.0,0.0,601245.0,0.0,-12135336.0,279000.0,0.0,0.0,-73767932.0,1505468.0
44792770.0,0.0,0.0,-1103904.0,3940255.0,0.0,-17917108.0,-300312.0,0.0,0.0,-3940255.0,0.0,24000.0,0.0,0.0,-71668432.0,0.0
0.0,9.0,0.0,70.0,12.0,0.0,0.0,0.0,0.0,19.0,-12.0,0.0,0.0,-73.0,0.0,-24.0,0.0
0.0,0.0,0.0,0.0,42519929304.0,0.0,-205742041595.0,-17917076901.0,0.0,0.0,-42519929304.0,5817712068.0,1431877000.0,-38748019314.0,0.0,-93083393088.0,0.0
0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,93.0,0.0,0.0,-66.0,0.0,0.0,0.0,-1078.0,22.0
0.0,45.0,0.0,0.0,60.0,0.0,0.0,0.0,76.0,0.0,-60.0,0.0,0.0,-88.0,88.0,-1254.0,0.0
0.0,0.0,0.0,2131958.0,4278965.0,0.0,0.0,-3003120.0,0.0,0.0,-4278965.0,-12752871.0,240000.0,0.0,6167372.0,-87885051.0,0.0
