ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen,dG
0.0,0.0,0.0,0.0,0.0,0.0,-984002.0,-1163709.0,0.0,0.0,0.0,-1859734.0,93000.0,-1184417.0,0.0,-14787171.0,301779.0,-795.5421233313931
689940.0,0.0,0.0,0.0,107112.0,0.0,-518285.0,-12513.0,0.0,0.0,-107112.0,0.0,1000.0,-91992.0,0.0,-1126902.0,22998.0,-766.0805924774577
0.0,0.0,0.0,0.0,0.0,11500684.0,0.0,-1351404.0,0.0,0.0,0.0,-8117756.0,108000.0,0.0,5633972.0,-80284101.0,0.0,-177.61184260906506
0.0,0.0,0.0,0.0,82671290952.0,0.0,-400023246985.0,-22607625003.0,-11635424136.0,2803180224.0,-82671290952.0,0.0,1806731000.0,-47157559986.0,0.0,0.0,0.0,-380.7162983027807
217.0,0.0,0.0,0.0,20.0,0.0,32.0,0.0,0.0,0.0,-20.0,-56.0,0.0,0.0,56.0,-798.0,0.0,-500.5410753961176
0.0,0.0,0.0,0.0,0.0,137988.0,0.0,-25026.0,89837.0,0.0,0.0,0.0,2000.0,-45996.0,0.0,-856021.0,0.0,-288.3056351529345
0.0,183613.0,0.0,0.0,367226.0,0.0,-741172.0,-375390.0,0.0,0.0,-367226.0,-830446.0,30000.0,-382070.0,522576.0,-7446708.0,0.0,-481.6736603438962
0.0,0.0,0.0,0.0,16639849200.0,0.0,-100197102164.0,-10577113770.0,-17729652657.0,0.0,-16639849200.0,-19439979420.0,845290000.0,0.0,0.0,0.0,0.0,-743.0116338798944
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-325338.0,615929.0,689940.0,0.0,-1379880.0,26000.0,-597948.0,0.0,-10231351.0,0.0,-304.74814564418693
0.0,279.0,0.0,640.0,372.0,0.0,0.0,0.0,0.0,0.0,-372.0,-528.0,0.0,208.0,0.0,-4264.0,0.0,-100.01084251424338
0.0,0.0,0.0,-610068.0,0.0,0.0,-2208531.0,-563085.0,0.0,0.0,0.0,0.0,45000.0,-1085370.0,0.0,-5806402.0,118498.0,-731.492717263984
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,38.0,0.0,-30.0,0.0,0.0,-44.0,44.0,-627.0,0.0,32.04220774422359
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,-352.0,0.0,84.0,20.0,-2007.0,0.0,4.346752509928169
235639500.0,0.0,0.0,0.0,15761020.0,0.0,0.0,-1201248.0,0.0,0.0,-15761020.0,-17917108.0,96000.0,-31418600.0,47127900.0,-671572575.0,0.0,-643.3333473958489
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,-24.0,0.0,-196.0,4.0,-432.99025321748957
0.0,0.0,0.0,0.0,321336.0,0.0,-1369567.0,-37539.0,-10464.0,24416.0,-321336.0,-72482.0,3000.0,-45344.0,0.0,0.0,0.0,-129.63728552124556
0.0,0.0,0.0,-5846048.0,0.0,0.0,0.0,-4654836.0,0.0,0.0,0.0,-8708616.0,372000.0,-4737668.0,7814052.0,-111350241.0,0.0,-439.1469609344716
0.0,0.0,0.0,-444760.0,0.0,0.0,-4386234.0,-750780.0,-1813007.0,0.0,0.0,-1157500.0,60000.0,0.0,0.0,0.0,0.0,-1203.7645705475788
0.0,45.0,0.0,340.0,60.0,0.0,0.0,0.0,0.0,88.0,-60.0,6.0,0.0,-352.0,0.0,-96.0,0.0,-69.37422235629234
0.0,0.0,0.0,155350.0,0.0,0.0,-370586.0,-187695.0,-261288.0,0.0,0.0,-231610.0,15000.0,-191035.0,0.0,0.0,0.0,-1839.374368597905
0.0,0.0,0.0,0.0,1285344.0,0.0,0.0,-150156.0,3973961.0,2280454.0,-1285344.0,0.0,12000.0,-9121816.0,4284932.0,-61060281.0,0.0,6.319224648895384
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-4.0,0.0,-32.0,0.0,-39.70392183742052
0.0,21503127364.0,0.0,0.0,43006254728.0,0.0,-153763751482.0,-106033985778.0,0.0,0.0,-43006254728.0,-194882890188.0,8473906000.0,0.0,0.0,-1213472070761.0,0.0,-836.4643854194119
0.0,0.0,0.0,0.0,229980.0,0.0,367968.0,-175182.0,628859.0,0.0,-229980.0,-321972.0,14000.0,0.0,0.0,-5509189.0,0.0,-297.46915829759405
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,-4.0,0.0,0.0,4.0,-61.0,0.0,-1.9891863310100553
0.0,45.0,0.0,0.0,60.0,0.0,0.0,0.0,340.0,88.0,-60.0,176.0,0.0,-352.0,0.0,-2816.0,0.0,0.39450286187901484
483313.0,0.0,0.0,3594328.0,1285344.0,0.0,0.0,-150156.0,0.0,0.0,-1285344.0,0.0,12000.0,-2073140.0,0.0,-2964608.0,0.0,-239.78231668250325
463220.0,0.0,0.0,0.0,321336.0,0.0,-1451364.0,-37539.0,0.0,34497.0,-321336.0,0.0,3000.0,-137988.0,0.0,-741152.0,0.0,-447.7163094253929
10.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-16.0,0.0,-964.4474281470486
0.0,0.0,0.0,-32962.0,0.0,0.0,-456244.0,-187695.0,0.0,0.0,0.0,94156.0,15000.0,-422645.0,0.0,-1506496.0,0.0,-927.8789076392964
0.0,0.0,0.0,0.0,0.0,0.0,-105.0,0.0,0.0,33.0,0.0,0.0,0.0,-72.0,0.0,-98.0,2.0,48.15140503365243
483.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,-20.0,-80.0,0.0,80.0,0.0,-1640.0,0.0,-583.7349747863672
0.0,0.0,0.0,0.0,9104520.0,0.0,-41294465.0,-1063605.0,0.0,1011912.0,-9104520.0,68994.0,85000.0,-4047648.0,0.0,-1103904.0,0.0,-113.86206338074204
0.0,0.0,0.0,2445514.0,0.0,0.0,0.0,-1163709.0,-1953513.0,0.0,0.0,-2177154.0,93000.0,-1184417.0,0.0,0.0,0.0,-1815.75199198009
0.0,0.0,0.0,0.0,0.0,0.0,601245.0,-3491127.0,0.0,0.0,0.0,-10641921.0,279000.0,0.0,0.0,-69016157.0,1408493.0,-581.9266334857189
76.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-16.0,16.0,-228.0,0.0,-628.51593546104
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,-24.0,0.0,-4.0,4.0,-153.0,0.0,14.611229577446178
0.0,0.0,0.0,565334.0,76180.0,0.0,0.0,-187695.0,-168644.0,0.0,-76180.0,-106652.0,15000.0,-520985.0,0.0,0.0,0.0,-1491.8675905182363
0.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,2.0,0.0,-47.0,0.0,-20.076951373804558
449185.0,22998.0,0.0,0.0,45996.0,0.0,-179674.0,-25026.0,0.0,0.0,-45996.0,-45996.0,2000.0,0.0,0.0,-787027.0,0.0,-1023.0990886914067
0.0,0.0,0.0,-36.0,0.0,0.0,-69.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,-164.0,0.0,20.663470895818588
58909875.0,0.0,0.0,0.0,7880510.0,0.0,-23563950.0,-600624.0,0.0,0.0,-7880510.0,-8958554.0,48000.0,7854650.0,0.0,-161020325.0,0.0,-613.0982279310733
0.0,0.0,0.0,0.0,0.0,0.0,-20985399024.0,-10577113770.0,-1683509777.0,0.0,0.0,0.0,845290000.0,-19439979420.0,0.0,-61132322225.0,0.0,-1247.2346042349693
0.0,0.0,0.0,72.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,52.0,-741.0,0.0,-12.89098989361026
0.0,0.0,0.0,0.0,19280160.0,0.0,0.0,-2252340.0,54791927.0,30130474.0,-19280160.0,-2779320.0,180000.0,-120521896.0,58900628.0,-839333949.0,0.0,4.191347124767054
0.0,0.0,0.0,616.0,15.0,864.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,-308.0,0.0,-336.0,0.0,-21.868258707989167
0.0,0.0,0.0,0.0,0.0,0.0,-2880002.0,-750780.0,-1538291.0,0.0,0.0,-1447160.0,60000.0,67280.0,0.0,-1379240.0,0.0,-1284.9019582172125
0.0,9.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,-12.0,-16.0,0.0,0.0,8.0,-130.0,0.0,-99.87075530751642
0.0,0.0,0.0,0.0,4934353665144360.0,0.0,-2.3875956842737924e+16,-2031001207394511.2,0.0,251829301783488.0,-4934353665144360.0,0.0,162311292847000.0,-4236493716462281.5,0.0,-9157392951483672.0,0.0,-482.7125806671153
0.0,0.0,0.0,0.0,926465.0,0.0,0.0,-750780.0,2170350.0,0.0,-926465.0,-2223491.0,60000.0,-764140.0,0.0,-26259933.0,535917.0,-291.68458289627085
0.0,0.0,0.0,3662372.0,964008.0,0.0,1449939.0,-112617.0,0.0,0.0,-964008.0,0.0,9000.0,-2038168.0,0.0,-2223456.0,0.0,-105.19103504775308
20.0,0.0,0.0,-8.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-57.0,0.0,-568.7350242419718
0.0,0.0,0.0,0.0,15761020.0,0.0,0.0,-1201248.0,15709300.0,0.0,-15761020.0,-17917108.0,96000.0,0.0,15709300.0,-223857525.0,0.0,-19.563346733903764
0.0,9.0,0.0,32.0,12.0,0.0,0.0,0.0,-8.0,0.0,-12.0,-16.0,0.0,0.0,0.0,-16.0,0.0,-217.28841817839682
30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,-16.0,0.0,-48.0,0.0,-746.4897979764803
710783.0,0.0,0.0,0.0,0.0,0.0,0.0,-50052.0,0.0,0.0,0.0,-83372.0,4000.0,-8620.0,0.0,-1574054.0,0.0,-1105.3606257205674
0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,-6.0,0.0,-107.0,2.0,-5.3413097447785916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,-1.0,0.0,-13.0,0.0,-104.0,0.0,28.380950911598184
0.0,0.0,0.0,0.0,27313560.0,0.0,-113692555.0,-3190815.0,0.0,997568.0,-27313560.0,-3937370.0,255000.0,-3990272.0,0.0,-1110928.0,22672.0,-134.63047880013679
15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-1169.0217641780189
0.0,0.0,0.0,88.0,15.0,0.0,0.0,0.0,-3.0,22.0,-15.0,0.0,0.0,-88.0,0.0,0.0,0.0,55.48464852837594
10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,-41.0,0.0,-498.41051098620204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3491127.0,0.0,601245.0,0.0,-12135336.0,279000.0,0.0,0.0,-73767932.0,1505468.0,-541.5998213064113
0.0,0.0,0.0,0.0,19280160.0,0.0,0.0,-2252340.0,57571247.0,30130474.0,-19280160.0,0.0,180000.0,-120521896.0,56121308.0,-844197759.0,0.0,4.470760491199295
44792770.0,0.0,0.0,-1103904.0,3940255.0,0.0,-17917108.0,-300312.0,0.0,0.0,-3940255.0,0.0,24000.0,0.0,0.0,-71668432.0,0.0,-885.1906481923643
0.0,9.0,0.0,70.0,12.0,0.0,0.0,0.0,0.0,19.0,-12.0,0.0,0.0,-73.0,0.0,-24.0,0.0,-64.82683242893673
0.0,0.0,0.0,0.0,42519929304.0,0.0,-205742041595.0,-17917076901.0,0.0,0.0,-42519929304.0,5817712068.0,1431877000.0,-38748019314.0,0.0,-93083393088.0,0.0,-473.6350024584496
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,4.0,0.0,-82.0,0.0,1.0739064712067479
0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,93.0,0.0,0.0,-66.0,0.0,0.0,0.0,-1078.0,22.0,-13.994462242690698
0.0,45.0,0.0,0.0,60.0,0.0,0.0,0.0,76.0,0.0,-60.0,0.0,0.0,-88.0,88.0,-1254.0,0.0,-44.536442337526
0.0,0.0,0.0,70.0,0.0,0.0,48.0,0.0,0.0,19.0,0.0,0.0,0.0,-73.0,0.0,-24.0,0.0,12.285284539690217
0.0,0.0,0.0,2131958.0,4278965.0,0.0,0.0,-3003120.0,0.0,0.0,-4278965.0,-12752871.0,240000.0,0.0,6167372.0,-87885051.0,0.0,-324.8678783856988
4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-8.0,0.0,-607.671503160838
0.0,0.0,0.0,-4650711656.0,0.0,0.0,-11906816306.0,-4802026419.0,0.0,0.0,0.0,-3068023387.0,383763000.0,-3432402259.0,0.0,-44959704402.0,0.0,-886.6454155344585
0.0,0.0,0.0,227385110.0,38560320.0,0.0,0.0,-4504680.0,0.0,60260948.0,-38560320.0,-5558640.0,360000.0,-241043792.0,0.0,-67108783.0,1369567.0,-40.26549803615871
