,M_ATPex_fap,M_CO2ex_gen_fap,M_H2pool_gen_fap,M_NH3ex_gen_fap,M_bm_fap,M_hv_gen_fap,M_glycpool_gen_fap,M_O2expool_gen_fap,M_PHB_fap,M_ac_pool_fap
45,0.0,0.827672553877301,0.0,-1.0,0.07991688643810436,-9.872026425850448,-1.0177948267135513,-0.40488558565758276,0.0,-1.2339700045286235
46,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
47,0.0,-1.640267455179946,-8.470934228402461,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-2.172412690801566,0.0,0.0
48,0.0,0.0,-3.9966648019393163,-1.0,0.07991688643810436,0.0,-1.0177948267135513,-1.57554543274994,0.0,-0.820133727589973
49,0.0,0.827672553877301,0.8097711713151655,-1.0,0.07991688643810436,-14.32576786808386,-1.0177948267135513,0.0,0.0,-1.2339700045286235
50,0.0,0.0,-1.6657076640294095,-1.0,0.07991688643810436,-13.522789632115932,-1.8379285543035244,0.0,0.0,0.0
51,0.0,-0.5923972402035217,-2.0303684168464797,-1.0,0.07991688643810436,-17.532646048109967,-1.0177948267135513,0.0,0.0,-0.5239351074882123
52,0.0,0.17922693731852207,-0.872932150563414,-1.0,0.07991688643810436,-13.674525160499748,-1.4036069154745732,0.0,0.0,-0.5239351074882123
53,0.0,-3.675857108607049,-8.197288153653533,-1.0,0.07991688643810436,-31.3931777617944,0.0,-0.5088974133567756,0.0,0.0
54,0.0,-1.640267455179946,-4.126108846799329,-1.0,0.07991688643810436,-21.724126908015663,-1.0177948267135513,0.0,0.0,0.0
55,0.0,-0.5923972402035217,-5.842236074482538,-1.0,0.07991688643810436,0.0,0.0,-2.414831242174805,0.0,-1.5417299342017634
56,0.0,2.143942743990694,0.0,-1.0,0.07991688643810436,0.0,-1.675929921770248,-1.3920882282426277,0.0,-1.2339700045286235
57,0.0,1.8755427688537254,-0.6493939636111777,-1.0,0.07991688643810436,0.0,-2.775699938730387,-0.8985002264311782,0.0,0.0
58,0.0,1.8755427688537254,0.0,-1.0,0.07991688643810436,-3.2469698180558884,-2.775699938730387,-0.5738032446255894,0.0,0.0
59,0.0,0.17922693731852207,-3.922198247156291,-1.0,0.07991688643810436,0.0,-1.9275420229627853,-1.2626654945523323,0.0,0.0
60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5
61,0.0,0.0,-4.370265590452596,-1.0,0.07991688643810436,0.0,-1.8379285543035244,-1.3522789632115932,0.0,0.0
62,0.0,0.0,-0.8455739364394363,-1.0,0.07991688643810436,-15.7554543274994,-1.0177948267135513,0.0,0.0,-0.820133727589973
63,0.0,0.4227869682197182,0.0,-1.0,0.07991688643810436,-14.730653453741443,-1.0177948267135513,0.0,0.0,-1.0315272116998322
64,0.0,1.0,0.0,0.0,0.0,-6.0,-1.0,0.0,1.0,-1.5
65,0.0,0.4227869682197182,0.0,-1.0,0.07991688643810436,-16.257345693811768,0.0,-0.5088974133567756,0.0,-2.0493220384133832
66,0.0,14.666666666666666,20.0,0.0,0.0,0.0,-7.333333333333333,-1.0,0.0,0.0
